'Product_Type','Product ','Price','5_Star_Reviews','4_Star_Reviews','3_Star_Reviews','2_Star_Reviews','1_Star_Reviews','Positive_Service_Review','Negative_Service_Review','Would_consumer','Best_Sellers','Shipping_Weight','Product_Depth','Product_Width','Product_Height','Stock','Profit_margin','Volume',,'Random'
'PC',101,949,3,3,2,0,0,2,0,0.9,1967,25.8,23.94,6.62,16.89,3,0.15,12,,-0.3822905708
'PC',102,2249.99,2,1,0,0,0,1,0,0.9,4806,50,35,31.75,19,3,0.25,8,,0.3029325013
'PC',103,399,3,0,0,0,0,1,0,0.9,12076,17.4,10.5,8.3,10.2,3,0.08,12,,-0.2445489173
'Laptop',104,409.99,49,19,8,3,9,7,8,0.8,109,5.7,15,9.9,1.3,22,0.08,196,,0.1145491407
'Laptop',105,1079.99,58,31,11,7,36,7,20,0.7,268,7,12.9,0.3,8.9,25,0.09,232,,-0.0422417179
'Accessories',106,114.22,83,30,10,9,40,12,5,0.3,64,1.6,5.8,4,1,35,0.05,332,,0.1172757593
'Accessories',107,379.99,11,3,0,0,1,3,0,0.9,,7.3,6.7,10.3,11.5,6,0.05,44,,-0.3608387078
'Accessories',108,65.29,33,19,12,5,9,5,3,0.7,2,12,7.9,6.7,2.2,15,0.05,132,,-0.1341159088
'Accessories',109,119.99,16,9,2,0,2,2,1,0.8,,1.8,10.6,9.4,4.7,9,0.05,64,,0.4480960637
'Accessories',110,16.99,10,1,1,0,0,2,0,0.9,18,0.75,10.7,13.1,0.6,6,0.05,40,,-0.2280233966
'Accessories',111,6.55,21,2,2,4,15,2,1,0.5,,1,7.3,7,1.6,11,0.05,84,,0.2149255215
'Accessories',112,15,75,25,6,3,3,9,2,0.2,7,2.2,21.3,1.8,7.8,30,0.05,300,,-0.2360336997
'Accessories',113,52.5,10,8,5,0,1,2,0,0.8,,1.1,15.6,3,15,7,0.05,40,,0.4880363683
'Accessories',114,21.08,313,62,13,8,16,44,3,0.9,6,0.35,5.7,3.5,8.3,115,0.05,1252,,-0.1845268679
'Accessories',115,18.98,349,118,27,7,5,57,3,0.9,,0.6,1.7,13.5,10.2,143,0.05,1396,,0.4381196441
'Accessories',116,3.6,8,6,3,2,1,0,0,0.8,927,0.01,11.5,8.5,0.4,5,0.05,32,,-0.0815910094
'Accessories',117,3.6,11,5,2,2,1,0,0,0.8,661,0.01,11.5,8.5,0.4,6,0.05,44,,-0.1707081902
'Accessories',118,174.99,170,100,23,20,20,310,6,0.8,1,1.4,13.8,8.2,0.4,65,0.05,680,,-0.2289976522
'Accessories',119,9.99,15,12,4,0,4,3,1,0.8,,0.4,11.1,7.6,0.5,9,0.05,60,,0.4554595626
'Software',120,670,20,2,4,2,4,4,3,0.7,110,0.25,5.8,1.4,7.8,10,0.15,80,,-0.1855844022
'Software',121,133.08,34,15,2,2,10,5,4,0.7,,3.2,7.4,5.5,1.4,14,0.15,136,,-0.407552605
'Software',122,124.99,394,187,63,42,86,55,38,0.8,1,0.15,7.6,5.5,1.2,144,0.2,1576,,-0.0995616615
'Software',123,56.99,513,217,162,370,1654,144,112,0.3,398,0.55,5.2,1.4,7.5,193,0.15,2052,,0.1968020455
'Software',124,48.5,29,18,3,1,8,4,2,0.8,150,0.2,8,7,1,13,0.2,116,,-0.2432083394
'Software',125,31.99,77,31,7,3,2,7,0,0.9,281,0.2,0,0,0,32,0.3,308,,-0.0616440054
'Display',126,179.99,306,114,25,22,28,42,12,0.8,2,13.7,8.5,22.3,17.5,111,0.08,1224,,-0.2488167651
'Printer',127,396.35,8,0,1,0,2,1,1,0.3,60,63,17.9,15.9,12.7,6,0.12,32,,0.3156561605
'Printer',128,262.98,22,8,3,1,3,5,1,0.8,29,57,17.3,23.5,25.8,10,0.12,88,,-0.1444643647
'Printer Supplies',129,83.11,0,0,0,1,3,1,1,0.1,17502,10.3,0,0,0,2,0.35,0,,0.1248034211
'Printer Supplies',130,26.78,6,2,0,0,1,1,0,0.9,,1,3.3,1.6,4.7,4,0.3,24,,-0.0714700113
'Printer Supplies',131,43.22,5,0,0,0,0,1,0,1,,1,4.7,2.9,6.3,4,0.3,20,,-0.3331997993
'Extended Warranty',132,79.98,0,1,1,1,1,0,3,0.4,5,0.2,0,0,0,2,0.4,0,,0.4645519187
'Extended Warranty',133,87.98,5,0,2,0,1,0,1,0.6,11,0.2,0,0,0,4,0.4,20,,-0.0829411906
'Extended Warranty',134,124.98,308,27,8,3,15,280,8,0.9,16,0.2,0,0,0,113,0.4,1232,,-0.1978147968
'Extended Warranty',135,129.98,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,118,0.4,1232,,0.013591361
'Extended Warranty',136,134.98,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,118,0.4,1232,,0.0210986503
'Extended Warranty',137,151.98,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,119,0.4,1232,,0.0514321397
'Extended Warranty',138,169.98,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,107,0.4,1232,,-0.4682247492
'Extended Warranty',139,179.98,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,121,0.4,1232,,0.1415544318
'Extended Warranty',140,189.5,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,107,0.4,1232,,-0.4349761407
'Extended Warranty',141,349.99,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,119,0.4,1232,,0.0649407515
'PC',142,609.99,21,7,3,0,12,5,3,0.6,,29.1,20.95,8.47,20.71,10,0.09,84,,-0.404888921
'Laptop',143,770.6,22,14,4,5,6,6,2,0.7,1473,3.54,12.72,8.9,0.71,11,0.15,88,,0.3261724382
'Accessories',144,3.84,92,29,8,4,10,12,3,0.8,17,1,6.5,4.2,1.5,39,0.05,368,,0.0843976815
'Accessories',145,6.99,384,31,13,5,20,50,1,0.9,9,1,108,0.5,0.5,144,0.05,1536,,-0.0040595653
'Accessories',146,59.99,366,59,23,26,24,60,5,0.8,22,2.4,7.9,1.4,19.1,137,0.05,1464,,-0.0165201868
'Accessories',147,38.66,209,83,35,38,36,15,4,0.7,11,0.4,3.6,6.5,8.8,75,0.05,836,,-0.4210236245
'Accessories',148,10.75,535,261,134,104,177,120,15,0.7,3,1.5,11.5,20,7.2,181,0.05,2140,,-0.3104242412
'Accessories',149,126.95,13,2,2,2,5,5,1,0.6,17,3,5.9,1.8,6.7,7,0.05,52,,-0.1945376866
'Accessories',150,49.99,2801,431,157,154,270,536,22,0.8,30,0.4,7,4.5,1.2,503,0.05,11204,,0.0787696065
'Accessories',151,103.85,3,0,0,0,0,1,0,0.9,100,8,4.8,1.3,4.8,3,0.05,12,,0.2284180648
'Accessories',152,52.72,51,33,8,7,4,6,1,0.8,3,4,6.6,5.5,5.2,21,0.05,204,,-0.2284979401
'Accessories',153,19.99,474,38,7,6,12,80,2,0.9,22,1.5,300,0.5,0.5,165,0.05,1896,,-0.2596175866
'Accessories',154,16.24,108,54,12,2,6,7,3,0.9,27,0.55,6,3,8.2,40,0.05,432,,-0.4723494926
'Accessories',155,69,226,37,3,7,8,13,1,0.9,27,3.8,15,9.8,18.9,88,0.05,904,,-0.0281847806
'Display',156,359.99,90,27,10,4,4,7,3,0.9,1,7,9.2,11.2,3.2,39,0.2,360,,0.218184188
'Display',157,1276.57,164,33,6,13,6,12,4,0.9,8,23,15.5,17.7,5.7,63,0.25,656,,-0.2144941818
'Display',158,783.98,26,13,7,5,16,4,5,0.6,50,25,29.2,9.9,23,12,0.16,104,,-0.1046967856
'Display',159,149.99,21,10,3,1,4,4,2,0.8,48,10,20,15.3,6.4,11,0.17,84,,0.4123611161
'Printer',160,129.99,74,25,7,6,9,4,2,0.9,6,32.2,15.7,15.9,12.4,29,0.1,296,,-0.2787695997
'Printer',161,128.49,58,33,10,3,6,5,2,0.9,11,22.7,15.7,15.9,10.6,22,0.12,232,,-0.4968802284
'Printer',162,141.95,4,0,0,0,3,0,1,0.5,76,25,19.5,18,14,3,0.14,16,,-0.2395672463
'Printer',163,149.99,8,3,3,2,0,0,0,0.7,,35,10.2,15.98,14.55,5,0.18,32,,-0.0436852933
'Printer',164,165.99,2,0,1,1,2,1,1,0.5,,31,22.1,18.6,13.5,3,0.18,8,,-0.0815351047
'Printer',165,169.26,20,13,8,6,21,4,7,0.5,,32,15.1,11.7,19.6,10,0.16,80,,0.0991168148
'Printer',166,132.36,0,1,0,0,0,0,0,0.8,,30.2,20.9,20.9,14.6,2,0.2,0,,-0.3537498002
'Printer',167,149.99,206,89,20,22,65,42,50,0.7,10,13,8.8,13.7,7.6,83,0.15,824,,0.0944547667
'Printer',168,395,8,0,1,0,2,3,0,0.8,69,63,17.9,15.9,12.7,5,0.09,32,,-0.2555525466
'Printer',169,385.96,99,43,17,11,20,8,13,0.7,,39,21,15.4,17.9,42,0.11,396,,0.1410405608
'Netbook',177,379.99,1,0,1,1,0,0,1,0.3,6295,3,7.44,10.43,1.02,2,0.1,4,,0.1530441612
'Tablet',185,499,148,66,30,20,29,12,6,0.8,134,2.2,7.1,10.4,0.3,58,0.13,592,,-0.1153426301
'Smartphone',190,199,4,1,0,2,2,1,1,0.5,829,1.1,4.5,2.5,0.5,4,0.1,16,,-0.0824663611
'Game Console',198,129,1759,296,109,56,44,56,13,0.9,215,7.25,8.5,6,1.75,483,0.18,7036,,0.2720298844
'Tablet',188,499,86,51,17,12,9,14,2,0.8,4,2,10.1,6.9,0.38,34,0.2,344,,-0.3031543242
'Tablet',189,419,3,1,0,0,0,0,0,0.9,544,2.2,7,10.2,0.4,3,0.18,12,,-0.4529867764
'Smartphone',191,200,62,25,10,11,12,9,3,0.8,720,0.9,2.8,5.4,0.3,26,0.14,248,,-0.1475731614
'Smartphone',192,99,18,17,6,2,12,5,4,0.7,5742,0.7,2.8,5.3,0.4,8,0.17,72,,-0.3715603868
'Netbook',182,349.99,22,10,6,2,10,3,3,0.3,2723,5,7.57,10.47,1.43,10,0.12,88,,-0.2040217568
'Smartphone',197,499,368,28,14,10,23,22,3,0.9,14086,0.9,2.7,5,0.4,138,0.1,1472,,-0.0046773318
'Game Console',200,299.99,421,87,20,14,39,29,14,0.9,352,10.94,12,11.5,7.25,141,0.12,1684,,-0.4870500939
